emp_no,first_name,last_name,birth_date,from_date,to_date,title
23570,Uno,Fasbender,1952-05-01,1992-04-11,9999-01-01,Senior Staff
23573,Hercules,Steinauer,1953-04-28,1994-09-06,9999-01-01,Engineer
23581,Houman,Narlikar,1954-01-25,1995-07-16,9999-01-01,Senior Staff
23583,Wonhee,Fargier,1953-11-11,1990-07-12,9999-01-01,Senior Staff
23584,Shaleah,Genther,1953-11-21,1991-10-01,9999-01-01,Technique Leader
23589,Ziya,Perko,1954-12-06,1985-04-28,9999-01-01,Engineer
23598,Sashi,Dayana,1952-04-30,1991-11-01,9999-01-01,Engineer
23604,Chinhyun,Foote,1953-04-28,1994-05-08,9999-01-01,Senior Staff
23620,Clyde,Reeker,1954-08-18,1993-07-13,9999-01-01,Senior Staff
23626,Bogdan,Vilarrasa,1952-02-12,1987-06-23,9999-01-01,Senior Staff
23627,Uwe,Hatcliff,1953-04-27,1998-04-11,9999-01-01,Senior Staff
23633,Jinpo,Nyrup,1954-12-08,1989-09-15,9999-01-01,Senior Staff
23640,Leucio,Mamelak,1954-12-08,1985-06-08,9999-01-01,Engineer
23643,Mariangiola,Ozeri,1954-03-22,1993-10-13,9999-01-01,Senior Staff
23649,Mohamadou,Docker,1953-08-12,1990-11-23,9999-01-01,Engineer
23653,Mabo,Masada,1952-12-28,1989-10-29,9999-01-01,Technique Leader
23656,Xiaoheng,Kawashimo,1954-04-16,1989-07-21,9999-01-01,Senior Staff
23660,JoAnna,Portugali,1952-02-09,1998-12-30,9999-01-01,Engineer
23663,Chaosheng,Kitai,1953-06-13,1997-04-30,9999-01-01,Technique Leader
23677,Rafael,Sevcikova,1953-09-04,1997-10-26,9999-01-01,Staff
23678,Saniya,Journel,1952-10-09,1991-12-03,9999-01-01,Engineer
23691,Satoru,Stille,1953-11-15,1999-09-07,9999-01-01,Assistant Engineer
23692,Aris,Merey,1953-08-04,1999-08-08,9999-01-01,Engineer
23695,Babette,Genin,1953-02-26,1985-11-22,9999-01-01,Senior Staff
23703,Prodip,Thimonier,1953-02-24,1997-09-02,9999-01-01,Senior Staff
23704,Basem,Bahk,1954-03-29,1997-12-10,9999-01-01,Staff
23705,Mokhtar,Wursthorn,1953-11-09,1999-07-23,9999-01-01,Senior Engineer
23707,Yoshimitsu,Ananiadou,1954-08-10,1989-03-21,9999-01-01,Technique Leader
23713,Vasilis,Wrigley,1953-01-27,1992-06-29,9999-01-01,Engineer
23715,Siamak,Czaja,1952-10-20,1990-11-23,9999-01-01,Engineer
23718,Xiaoqiang,Sanella,1954-08-01,1994-06-16,9999-01-01,Staff
23720,Shih,Horswill,1952-06-02,1989-03-29,9999-01-01,Engineer
23725,Zita,Gaughan,1952-12-05,1999-11-03,9999-01-01,Staff
23734,Fabrizio,Lenart,1953-12-19,1998-02-12,9999-01-01,Senior Staff
23742,Horward,Parascandalo,1953-11-10,1996-04-27,9999-01-01,Staff
23749,Emdad,Ponthieu,1954-10-06,1987-01-16,9999-01-01,Engineer
23754,Sachin,Lorys,1952-12-07,1997-12-14,9999-01-01,Engineer
23756,Halsur,Nannarelli,1952-02-17,1994-12-03,9999-01-01,Senior Staff
23758,Dinah,Serre,1954-04-23,1991-04-01,9999-01-01,Engineer
23761,Jouni,Menhardt,1954-01-24,1997-05-29,9999-01-01,Staff
23764,Hsiangchu,Cyne,1954-02-04,1988-11-03,9999-01-01,Senior Staff
23765,Suvo,Taubman,1954-04-11,1997-08-15,9999-01-01,Technique Leader
23772,Uriel,Stasinski,1954-01-23,1996-08-06,9999-01-01,Engineer
23775,Kamran,Coorg,1952-06-09,1990-12-02,9999-01-01,Senior Staff
23784,Aiman,Merli,1953-03-25,1998-07-19,9999-01-01,Technique Leader
23786,Cullen,Zastre,1953-02-14,1998-06-16,9999-01-01,Staff
23791,Boguslaw,Pavlopoulou,1953-03-21,1991-09-27,9999-01-01,Senior Staff
23795,Mats,Peron,1952-10-18,1998-06-24,9999-01-01,Senior Staff
23797,Torsten,Usery,1952-03-26,1998-07-02,9999-01-01,Senior Staff
23799,Takushi,Crelier,1952-08-09,1993-11-16,9999-01-01,Technique Leader
23800,Mohua,Buescher,1954-10-25,1997-05-14,9999-01-01,Engineer
23812,Constantine,Gronowski,1954-06-18,1991-05-20,9999-01-01,Senior Staff
23816,Sanjoy,Dulin,1952-08-24,1994-07-08,9999-01-01,Engineer
23817,Duri,Coorg,1952-10-14,1992-04-14,9999-01-01,Senior Staff
23822,Faiza,Rosar,1952-10-21,2001-12-22,9999-01-01,Engineer
23824,Maris,Porotnikoff,1953-05-11,1999-09-16,9999-01-01,Engineer
23828,Yonghong,Ecklund,1954-03-27,1987-07-12,9999-01-01,Senior Staff
23842,Genevieve,Birdsall,1953-08-27,1988-12-18,9999-01-01,Engineer
23843,Shin,Murtha,1952-12-26,1987-01-24,9999-01-01,Senior Staff
23845,Zvonko,Rosaz,1952-12-30,1991-10-24,9999-01-01,Senior Engineer
23857,Kristen,Frijda,1952-02-03,1994-08-03,9999-01-01,Engineer
23860,Malu,Kumaresan,1954-09-13,1988-02-27,9999-01-01,Senior Staff
23862,Guangming,Zaiane,1954-08-24,1992-09-23,9999-01-01,Engineer
23867,Ewing,Babu,1952-03-23,1994-06-23,9999-01-01,Engineer
23868,Trygve,Reistad,1954-01-01,1998-10-17,9999-01-01,Staff
23869,Raimond,Stiles,1954-05-03,1999-12-14,9999-01-01,Engineer
23871,Waiman,Schrift,1952-10-01,1997-06-18,9999-01-01,Staff
23872,Cedric,Ranst,1953-04-04,1991-02-03,9999-01-01,Senior Engineer
23875,Waiman,Encarnacion,1952-09-16,1986-12-29,9999-01-01,Senior Staff
23877,Tesuro,Motley,1954-01-31,1986-09-24,9999-01-01,Senior Staff
23880,Hairong,Angelopoulos,1954-04-30,1986-11-01,9999-01-01,Engineer
23883,Dayanand,Ozery,1953-02-20,1987-07-06,9999-01-01,Technique Leader
23884,Somnath,Restivo,1952-05-18,1994-04-08,9999-01-01,Staff
23892,Kousuke,Eterovic,1954-06-13,1989-01-08,9999-01-01,Engineer
23899,Anyuan,Muhling,1954-08-16,1989-07-16,9999-01-01,Engineer
23902,Yinlin,Kowalchuk,1954-10-03,1999-11-01,9999-01-01,Engineer
23905,Turgut,Lovengreen,1952-08-19,1998-08-12,9999-01-01,Engineer
23910,Shahab,Tempesti,1952-11-30,1997-08-09,9999-01-01,Staff
23920,Gererd,Kossowski,1952-06-10,1989-11-24,9999-01-01,Senior Staff
23924,Shakhar,Solovay,1954-04-13,1985-07-22,9999-01-01,Senior Engineer
23926,Juyoung,Schwaller,1954-07-07,1989-04-14,9999-01-01,Engineer
23930,Sreenivas,Frezza,1954-10-03,1997-02-28,9999-01-01,Senior Engineer
23932,Lubomir,Harbusch,1953-04-02,1988-02-02,9999-01-01,Engineer
23940,Jingling,Haldar,1952-11-11,1994-01-15,9999-01-01,Engineer
23946,Carrsten,Streit,1952-05-28,1997-02-01,9999-01-01,Staff
23951,Sachem,Muchinsky,1953-01-05,1992-02-11,9999-01-01,Engineer
23952,Valdiodio,Oehlmann,1952-07-18,1988-07-26,9999-01-01,Senior Staff
23956,Jongsuk,Maraist,1953-04-05,1996-12-17,9999-01-01,Senior Staff
23960,Qingxiang,Chiola,1954-06-10,1992-08-13,9999-01-01,Senior Staff
23962,Mototsugu,Uhrik,1953-12-16,1989-08-25,9999-01-01,Senior Staff
23963,Goo,Soloway,1953-10-18,1987-04-21,9999-01-01,Engineer
23969,Elgin,Sullins,1954-10-28,1986-09-16,9999-01-01,Assistant Engineer
23972,Zvonko,Vesna,1953-01-22,1993-10-11,9999-01-01,Senior Staff
23977,Jouko,Boissier,1953-09-24,1990-05-15,9999-01-01,Senior Staff
23989,Christophe,Bouloucos,1954-08-10,1995-04-08,9999-01-01,Engineer
23993,Gian,Ghalwash,1954-12-02,1985-06-08,9999-01-01,Engineer
23996,Debaprosad,Hasham,1953-08-16,1988-03-15,9999-01-01,Technique Leader
23997,Vatsa,Collavizza,1954-01-07,1994-02-01,9999-01-01,Senior Staff
24001,Sachio,Lorys,1953-04-13,1996-04-17,9999-01-01,Senior Staff
24003,Ronnie,Linares,1954-11-11,1999-12-04,9999-01-01,Engineer
24011,Mohammad,Zallocco,1953-04-16,1990-12-31,9999-01-01,Technique Leader
24012,Kauko,Hiltgen,1954-11-03,1998-05-13,9999-01-01,Senior Staff
24029,Heekeun,Maksimenko,1952-11-09,1986-04-23,9999-01-01,Senior Staff
24034,Murthy,Validov,1952-08-15,1985-05-07,9999-01-01,Engineer
24038,Siddarth,Laurillard,1952-02-05,1989-03-11,9999-01-01,Engineer
24041,Macha,Bednarek,1952-11-03,1988-04-27,9999-01-01,Technique Leader
24043,Christoper,Chartres,1953-03-21,1990-08-07,9999-01-01,Senior Staff
24045,Moto,Szmurlo,1952-08-09,1987-02-27,9999-01-01,Senior Staff
24059,Kendra,Swab,1954-07-07,1991-08-28,9999-01-01,Engineer
24064,Boalin,Janocha,1954-06-03,1997-08-11,9999-01-01,Staff
24065,Wonhee,Bennet,1954-12-12,1989-08-14,9999-01-01,Engineer
24067,Zengping,Hebden,1952-12-10,1989-11-18,9999-01-01,Senior Staff
24072,Tianruo,Piveteau,1952-06-15,1985-09-21,9999-01-01,Assistant Engineer
24077,Kerhong,Zedlitz,1953-01-17,1991-04-24,9999-01-01,Senior Staff
24084,Takahira,Engberts,1952-07-22,2000-01-22,9999-01-01,Senior Engineer
24088,Parviz,Rouquie,1953-01-22,1994-10-23,9999-01-01,Staff
24093,Peternela,Serdy,1954-11-29,1995-04-28,9999-01-01,Engineer
24102,Elvis,Thorelli,1953-06-18,1998-05-17,9999-01-01,Staff
24105,Salvador,Munoz,1952-10-10,1999-05-06,9999-01-01,Engineer
24107,Arvind,Strandh,1953-07-04,1989-02-17,9999-01-01,Senior Staff
24108,Shaz,Kushnir,1953-11-15,1986-09-10,9999-01-01,Assistant Engineer
24110,Lucien,Baar,1953-02-19,1988-10-12,9999-01-01,Senior Staff
24111,Kenton,Hambrick,1952-06-01,1991-12-12,9999-01-01,Senior Staff
24112,Atreyi,Ginneken,1953-02-05,1987-12-31,9999-01-01,Engineer
24120,Luerbio,Badr,1952-11-23,1995-07-04,9999-01-01,Technique Leader
24121,Franziska,Bale,1953-06-09,1985-09-03,9999-01-01,Engineer
24122,Nishit,Berstel,1954-02-22,1998-02-27,9999-01-01,Engineer
24124,Barun,Bridgland,1952-10-30,1999-12-14,9999-01-01,Engineer
24133,Prodip,Ramalingam,1952-09-01,1999-12-21,9999-01-01,Senior Staff
24134,Jolita,Murillo,1952-12-29,1999-06-22,9999-01-01,Senior Engineer
24140,Basem,Thombley,1952-06-29,1986-12-07,9999-01-01,Assistant Engineer
24142,Mahendra,Barvinok,1952-02-25,1998-05-09,9999-01-01,Technique Leader
24144,DeForest,Cusworth,1953-02-19,1999-10-11,9999-01-01,Engineer
24153,Lidong,Anger,1954-02-18,1992-04-03,9999-01-01,Senior Staff
24154,Khaled,Hashii,1953-10-03,1988-11-04,9999-01-01,Senior Staff
24156,Bangqing,Willoner,1953-06-19,1995-09-17,9999-01-01,Engineer
24166,Niranjan,Chinal,1952-07-29,1991-12-31,9999-01-01,Senior Staff
24169,Baoqiu,Picci,1952-07-22,2001-10-23,9999-01-01,Engineer
24178,Jouko,Sherertz,1953-11-15,1999-09-25,9999-01-01,Engineer
24180,Jungsoon,Marrevee,1953-12-24,1998-06-25,9999-01-01,Staff
24196,Radhika,Boyle,1954-06-19,1999-12-20,9999-01-01,Engineer
24199,Iara,Bach,1953-09-19,1985-09-20,9999-01-01,Senior Engineer
24204,Arun,Anick,1954-06-03,1993-08-24,9999-01-01,Engineer
24207,Frazer,Rodham,1954-04-28,1993-03-27,9999-01-01,Assistant Engineer
24209,Hilary,Msuda,1954-06-16,1998-01-26,9999-01-01,Senior Engineer
24212,Valdiodio,Servieres,1952-06-27,1994-01-07,9999-01-01,Engineer
24213,Valeska,Menhardt,1952-05-01,1989-01-03,9999-01-01,Senior Staff
24214,Sukumar,Ghemri,1953-08-19,1991-12-29,9999-01-01,Engineer
24215,Feipei,Iivonen,1952-07-23,1997-06-13,9999-01-01,Staff
24219,Prasadram,Collavizza,1952-07-20,1991-11-19,9999-01-01,Engineer
24224,Vasilis,Kinley,1952-02-06,1990-03-29,9999-01-01,Engineer
24229,Tua,Ellozy,1953-04-12,1997-01-12,9999-01-01,Staff
24231,Along,Sooriamurthi,1954-01-16,1992-11-21,9999-01-01,Senior Staff
24233,Gen,Rosiles,1953-05-21,1995-08-30,9999-01-01,Senior Staff
24248,Menkae,Zwicker,1954-03-08,1991-10-07,9999-01-01,Engineer
24256,Salvador,Clemencon,1952-12-26,1988-01-19,9999-01-01,Assistant Engineer
24259,Stein,Lorin,1952-02-06,1990-01-24,9999-01-01,Engineer
24260,Atilio,Brookman,1952-07-17,1988-01-15,9999-01-01,Engineer
24263,Abdulla,Sundgren,1954-06-06,1993-11-06,9999-01-01,Engineer
24264,Chenyi,Eterovic,1954-02-21,1992-11-16,9999-01-01,Senior Staff
24272,Adin,Perng,1952-02-20,1994-10-08,9999-01-01,Staff
24280,Shir,Schreiter,1953-02-28,1997-04-06,9999-01-01,Senior Staff
24295,Alejandra,Shackell,1954-04-12,1994-04-03,9999-01-01,Staff
24296,Danco,Pfau,1952-07-27,1992-08-02,9999-01-01,Senior Staff
24316,Feiyu,Cincotta,1953-04-25,1986-06-28,9999-01-01,Engineer
24332,Tadahiro,Varley,1952-05-30,1995-01-15,9999-01-01,Senior Engineer
24334,Zhilian,Brookman,1954-09-18,1991-05-01,9999-01-01,Senior Staff
24335,Renee,Callaway,1952-07-27,1995-03-29,9999-01-01,Senior Staff
24344,Seongbae,Jumpertz,1953-08-11,1994-08-27,9999-01-01,Senior Staff
24357,Gretta,Miara,1954-07-14,1996-01-12,9999-01-01,Engineer
24373,Zhonghui,Raney,1952-08-18,1995-03-19,9999-01-01,Senior Staff
24381,Gaurav,Boissier,1953-07-02,1994-06-13,9999-01-01,Senior Staff
24383,Aksel,Erev,1952-06-27,1996-06-30,9999-01-01,Engineer
24384,Zine,Moehrke,1952-09-01,1995-11-02,9999-01-01,Senior Staff
24388,Zhilian,Milicic,1953-01-15,1988-07-07,9999-01-01,Senior Staff
24389,Kenroku,Shimshoni,1953-05-16,1996-07-07,9999-01-01,Senior Engineer
24397,Shaibal,Shimshoni,1952-06-01,2002-05-16,9999-01-01,Senior Staff
24409,Eckart,Puoti,1952-02-27,1998-04-15,9999-01-01,Staff
24423,Seshu,Feinberg,1952-04-28,1997-05-30,9999-01-01,Engineer
24428,Moie,Lunn,1954-07-19,1997-12-17,9999-01-01,Senior Staff
24429,Murthy,Anger,1954-03-11,1992-01-14,9999-01-01,Senior Staff
24431,Mana,Loncour,1954-11-01,1990-09-15,9999-01-01,Senior Staff
24432,Jackson,Vakili,1954-10-17,1999-11-14,9999-01-01,Senior Staff
24433,Manohar,Lally,1954-06-21,1996-07-11,9999-01-01,Engineer
24434,Lein,VanScheik,1953-07-01,1991-11-05,9999-01-01,Engineer
24441,Yagil,Akaboshi,1953-09-23,1997-02-15,9999-01-01,Senior Staff
24451,Danel,Walston,1953-03-26,1994-01-28,9999-01-01,Senior Staff
24457,Alain,Merkl,1954-01-26,1988-07-25,9999-01-01,Engineer
24471,Shaibal,Usdin,1952-05-10,1996-01-02,9999-01-01,Senior Staff
24472,Behnaam,Oehlmann,1952-07-12,1985-08-14,9999-01-01,Engineer
24482,Franziska,Yurov,1953-12-02,1992-06-26,9999-01-01,Technique Leader
24486,Kerhong,Quaggetto,1952-07-22,1992-01-24,9999-01-01,Senior Staff
24490,Alois,Dratva,1954-03-01,1992-11-25,9999-01-01,Senior Staff
24497,Jackson,Rando,1952-08-25,1991-06-13,9999-01-01,Engineer
24499,Macha,Frijda,1953-06-11,1997-09-04,9999-01-01,Senior Staff
24508,Uzi,Penn,1954-03-02,1992-04-25,9999-01-01,Engineer
24522,Shunichi,Hopewell,1953-05-03,1996-03-15,9999-01-01,Senior Staff
24525,Ronnie,Gelosh,1953-07-17,1988-04-03,9999-01-01,Engineer
24530,Shen,Bhattacharjee,1953-05-28,1999-01-07,9999-01-01,Staff
24533,Shigenori,Erman,1953-11-21,2000-11-01,9999-01-01,Senior Engineer
24546,Tetsushi,Czap,1953-12-30,1993-09-29,9999-01-01,Senior Staff
24552,Hirochika,Haraldson,1954-09-13,1993-09-25,9999-01-01,Engineer
24556,Ziva,Boyle,1953-12-30,1987-04-22,9999-01-01,Senior Staff
24558,Georg,Lammel,1954-01-24,1992-05-24,9999-01-01,Senior Engineer
24559,Armond,Zeleznik,1953-06-08,1986-04-13,9999-01-01,Engineer
24560,Jinya,Delaune,1953-03-04,1989-01-23,9999-01-01,Assistant Engineer
24561,Elgin,Openshaw,1954-11-28,1992-03-03,9999-01-01,Senior Staff
24565,Larisa,Koblick,1952-05-01,1995-09-19,9999-01-01,Engineer
24572,Hirochika,Setlzner,1953-03-19,1988-09-19,9999-01-01,Senior Staff
24574,Kirk,Akazan,1952-09-04,1995-06-10,9999-01-01,Engineer
24579,Valdiodio,Sgarro,1953-08-24,1999-05-28,9999-01-01,Engineer
24581,Jouni,Roccetti,1953-09-30,1997-09-08,9999-01-01,Staff
24588,Huiqun,Kranzdorf,1953-06-01,1989-03-27,9999-01-01,Senior Staff
24596,Ayonca,Stranks,1952-10-31,1994-07-02,9999-01-01,Senior Staff
24600,Hirochika,Syang,1952-09-05,1997-04-08,9999-01-01,Technique Leader
24613,Hitofumi,Stifter,1954-06-16,1987-02-13,9999-01-01,Senior Staff
24625,Duke,Zirintsis,1952-10-11,1994-08-21,9999-01-01,Senior Staff
24630,Barun,Montresor,1952-04-06,1996-01-24,9999-01-01,Engineer
24652,Keung,Haddadi,1954-05-18,1999-12-04,9999-01-01,Assistant Engineer
24656,Shirish,Weedon,1952-02-15,1998-10-30,9999-01-01,Engineer
24657,Berna,Silva,1952-07-19,1990-01-26,9999-01-01,Engineer
24663,Arlette,Masada,1954-09-22,1989-08-20,9999-01-01,Engineer
24669,Flemming,McFarlin,1953-06-26,1989-05-12,9999-01-01,Assistant Engineer
24678,Rance,Gecsel,1953-11-04,1995-06-18,9999-01-01,Engineer
24680,Garnet,Takkinen,1952-02-13,1999-12-18,9999-01-01,Senior Engineer
24682,Nigel,Ginesta,1954-11-09,1999-02-26,9999-01-01,Staff
24684,Abdelaziz,Junet,1952-08-02,1989-04-10,9999-01-01,Engineer
24687,Bezalel,McDermid,1952-07-04,1997-10-21,9999-01-01,Staff
24696,Ohad,Munoz,1952-08-12,1988-09-30,9999-01-01,Senior Engineer
24701,Raimond,Zeleznik,1954-07-31,1993-07-02,9999-01-01,Senior Staff
24705,Luisa,Jervis,1953-08-26,1993-01-02,9999-01-01,Senior Staff
24715,Kerhong,Kamber,1954-12-24,1991-01-05,9999-01-01,Engineer
24717,Cheong,Keirsey,1954-02-04,1996-04-25,9999-01-01,Engineer
24720,Owen,Zirintsis,1954-09-25,1999-10-17,9999-01-01,Engineer
24725,Yechezkel,Openshaw,1954-09-16,1988-06-01,9999-01-01,Senior Staff
24727,Akeno,Gecseg,1952-09-30,1988-12-14,9999-01-01,Assistant Engineer
24728,Margo,Trumbly,1952-04-15,1990-06-10,9999-01-01,Senior Engineer
24736,Janche,Azevdeo,1954-03-30,1998-01-14,9999-01-01,Senior Engineer
24741,Mara,Bruckman,1952-07-21,1989-01-04,9999-01-01,Senior Staff
24746,Tianruo,Tsukuda,1954-06-11,1996-03-12,9999-01-01,Senior Staff
24748,Tua,Perng,1954-07-05,1987-03-20,9999-01-01,Senior Staff
24752,Fan,Mersereau,1953-05-16,1998-02-09,9999-01-01,Technique Leader
24755,Aran,Borstler,1954-03-17,1993-01-31,9999-01-01,Senior Staff
24764,Bluma,Rothe,1952-11-27,1995-07-01,9999-01-01,Senior Staff
24767,Kiyokazu,Pagter,1952-07-20,1991-12-14,9999-01-01,Senior Staff
24768,Remco,Atrawala,1954-05-15,1994-08-16,9999-01-01,Senior Staff
24776,Elgin,Fortenbacher,1953-10-29,1990-03-21,9999-01-01,Senior Staff
24781,Yefim,Xiaoshan,1954-03-23,1986-11-25,9999-01-01,Senior Staff
24787,Jinpo,Kaelbling,1953-06-10,1999-04-24,9999-01-01,Engineer
24790,Kiyokazu,Chachaty,1954-02-12,1986-08-25,9999-01-01,Senior Staff
24811,Sarita,Andreotta,1953-08-25,1997-01-15,9999-01-01,Staff
24813,Dines,Zaumen,1952-05-12,1991-07-21,9999-01-01,Engineer
24822,Fabrizio,Merey,1952-02-23,1990-07-06,9999-01-01,Assistant Engineer
24823,Garnet,Walstra,1953-06-30,1987-07-13,9999-01-01,Technique Leader
24829,Dietrich,Wiegley,1954-08-23,1993-08-17,9999-01-01,Engineer
24833,Szabolcs,Thombley,1954-01-12,1995-04-02,9999-01-01,Engineer
24842,Selwyn,Boyle,1952-07-16,1993-10-03,9999-01-01,Senior Staff
24846,Suvo,Iwayama,1954-09-18,1990-07-31,9999-01-01,Engineer
24848,Shietung,Masada,1954-06-01,1996-05-28,9999-01-01,Engineer
24862,Susumu,Muntz,1954-09-06,1988-01-21,9999-01-01,Senior Staff
24867,Odysseas,Ouhyoung,1952-05-09,1999-08-20,9999-01-01,Engineer
24868,Nikolaos,Grospietsch,1954-04-18,1994-11-28,9999-01-01,Technique Leader
24871,Irene,Paludetto,1952-04-13,1999-02-27,9999-01-01,Staff
24872,Oguz,Decaestecker,1953-12-02,1986-12-02,9999-01-01,Senior Staff
24875,Remko,Backhouse,1953-06-24,1991-09-25,9999-01-01,Senior Staff
24876,Almudena,Budinsky,1952-12-18,1999-11-20,9999-01-01,Senior Staff
24877,Roded,Cusworth,1953-12-13,1989-06-27,9999-01-01,Assistant Engineer
24879,Subhash,Schaap,1952-09-30,1986-04-13,9999-01-01,Technique Leader
24881,Shin,Sadowsky,1953-12-20,1988-01-22,9999-01-01,Engineer
24888,Murthy,Felder,1952-08-28,1985-03-31,9999-01-01,Senior Staff
24890,Ebbe,Ramsey,1952-05-17,1998-01-12,9999-01-01,Senior Staff
24891,Sham,Danner,1953-01-06,1991-12-28,9999-01-01,Senior Staff
24896,Gen,McConalogue,1952-04-28,1995-09-06,9999-01-01,Engineer
24902,Przemyslawa,Rindone,1952-09-20,1999-05-15,9999-01-01,Engineer
24909,Constantine,Garrabrants,1952-05-23,1996-12-30,9999-01-01,Staff
24918,Pascal,Lorin,1953-09-13,1994-11-28,9999-01-01,Senior Engineer
24919,Adam,Angel,1953-07-07,2001-08-21,9999-01-01,Engineer
24925,Gennady,Thebaut,1954-11-07,1986-09-23,9999-01-01,Engineer
24937,Syozo,Carrera,1954-09-06,1986-03-01,9999-01-01,Engineer
24938,Ulf,Nollmann,1952-07-21,1992-10-16,9999-01-01,Engineer
24939,Shuho,Angot,1954-09-13,2001-06-14,9999-01-01,Engineer
24951,Fayez,Kirkerud,1954-11-10,1986-09-24,9999-01-01,Senior Staff
24954,Foong,Swick,1952-12-05,1988-01-13,9999-01-01,Engineer
24957,Francoise,Miara,1953-07-04,2001-01-07,9999-01-01,Staff
24967,Kwok,Birta,1952-07-20,1992-06-05,9999-01-01,Senior Staff
24969,Subhrajyoti,Baby,1953-05-05,1999-04-24,9999-01-01,Staff
24976,Khun,Vakili,1952-07-29,2001-05-14,9999-01-01,Senior Staff
24980,Fumitaka,Schlegelmilch,1953-09-28,1993-03-25,9999-01-01,Technique Leader
24985,Martins,Bottner,1952-04-26,1987-04-04,9999-01-01,Senior Staff
24988,Martijn,Improta,1953-09-05,1995-03-09,9999-01-01,Senior Staff
25003,Dietrich,Benzmuller,1953-01-06,1993-10-15,9999-01-01,Staff
25004,Youpyo,Schurmann,1953-02-10,1996-03-19,9999-01-01,Engineer
25007,Dipankar,Showalter,1954-10-30,1985-05-15,9999-01-01,Engineer
25016,Danny,Asrin,1952-02-29,1988-05-08,9999-01-01,Engineer
25017,Chaosheng,Gladwell,1954-05-04,2000-07-20,9999-01-01,Staff
25019,Lech,Kadhim,1954-03-18,1989-07-12,9999-01-01,Engineer
25020,Kazuhiro,Lores,1953-08-08,1996-02-22,9999-01-01,Senior Staff
25027,Boalin,Hutton,1954-07-16,1992-10-08,9999-01-01,Engineer
25030,Hideyuki,Reeker,1953-12-01,1993-06-03,9999-01-01,Senior Staff
25034,Odinaldo,Petersohn,1952-03-14,1991-04-10,9999-01-01,Engineer
25037,Adib,Magliocco,1952-04-23,2001-03-19,9999-01-01,Senior Engineer
25040,Toshimo,Picco,1953-02-02,1991-07-29,9999-01-01,Senior Staff
25046,Mart,Cyre,1952-12-03,1986-07-14,9999-01-01,Engineer
25050,Jahangir,Fraisse,1953-03-01,1987-08-29,9999-01-01,Engineer
25057,True,Standera,1953-07-27,1998-07-07,9999-01-01,Staff
25059,Remko,Haraldson,1953-08-08,1992-01-06,9999-01-01,Senior Engineer
25060,Kristen,Birta,1952-08-15,1991-07-21,9999-01-01,Senior Engineer
25061,Dmitri,Skogmar,1953-01-11,1995-12-20,9999-01-01,Senior Staff
25064,Cordelia,Laventhal,1954-02-24,1995-06-01,9999-01-01,Engineer
25078,Duro,Stafford,1953-06-20,1991-12-05,9999-01-01,Engineer
25085,Tran,Usery,1954-08-07,1985-05-03,9999-01-01,Senior Staff
25095,Shay,Weedon,1953-07-11,1993-07-26,9999-01-01,Engineer
25097,Adamantios,Picel,1952-12-13,1990-07-13,9999-01-01,Senior Staff
25102,Ramalingam,Bednarek,1952-03-18,1991-04-22,9999-01-01,Engineer
25105,Yongdong,Andreotta,1954-03-07,1996-01-28,9999-01-01,Staff
25106,Ult,Syrotiuk,1952-09-07,1996-11-24,9999-01-01,Senior Staff
25112,Muneo,Haraldson,1954-05-20,1987-06-18,9999-01-01,Senior Staff
25113,Abdelaziz,Chelton,1953-04-22,1994-08-15,9999-01-01,Staff
25114,Kyoichi,Bednarek,1954-11-29,2000-01-29,9999-01-01,Staff
25117,Masamitsu,Cichocki,1954-11-12,1995-10-19,9999-01-01,Staff
25118,Weiye,Sethi,1953-08-08,1995-04-11,9999-01-01,Engineer
25119,Lihong,Roison,1953-05-08,1999-10-22,9999-01-01,Engineer
25123,Jacqueline,Auria,1953-10-11,1989-10-15,9999-01-01,Senior Staff
25125,Jiang,Thebaut,1954-03-15,1993-04-29,9999-01-01,Senior Staff
25127,Wanqing,Ligten,1954-12-22,1993-06-28,9999-01-01,Engineer
25132,Indrajit,Heping,1953-10-07,1996-02-03,9999-01-01,Staff
25138,Guadalupe,Marrakchi,1954-08-23,1987-04-28,9999-01-01,Assistant Engineer
25139,Aloke,Jiang,1952-12-29,1986-01-03,9999-01-01,Engineer
25140,Yuichiro,Chachaty,1954-08-20,1998-01-26,9999-01-01,Staff
25145,Serge,Ashish,1954-05-21,1990-10-22,9999-01-01,Engineer
25154,Eldridge,Eugenio,1952-06-17,1988-11-22,9999-01-01,Senior Staff
25161,Bokyung,Rosca,1953-05-07,1991-01-13,9999-01-01,Senior Staff
25162,Kazuhiko,Bamford,1952-11-09,1989-04-10,9999-01-01,Senior Engineer
25165,Tayeb,Grabner,1952-12-13,1998-03-18,9999-01-01,Senior Staff
25167,Flemming,Delaune,1953-01-30,1986-12-21,9999-01-01,Engineer
25175,Aimee,Speckmann,1954-03-23,1995-08-26,9999-01-01,Senior Staff
25190,Paris,Khasidashvili,1952-03-09,1994-08-28,9999-01-01,Senior Staff
25195,Tadahiko,Rothe,1953-07-29,1993-08-26,9999-01-01,Senior Staff
25203,Narain,Werthner,1954-09-19,1994-08-04,9999-01-01,Engineer
25210,Arumugam,Kumaresan,1954-12-09,1992-09-05,9999-01-01,Engineer
25216,Pohua,Ramsak,1953-07-12,1994-05-29,9999-01-01,Staff
